BCN,BOD
BCN,BRS
BCN,BRU
BCN,BUD
BCN,BVA
BCN,CFU
BCN,CGN
BCN,CPH
BCN,CRL
BCN,DUB
BCN,EDI
BCN,EMA
BCN,FAO
BCN,FCO
BCN,FEZ
BCN,FUE
BCN,GDN
BCN,HHN
BCN,IBZ
BCN,KRK
BCN,LIS
BCN,LPA
BCN,LPL
BCN,LTN
BCN,LUX
BCN,MAH
BCN,MAN
BCN,MLA
BCN,MXP
BCN,NAP
BCN,NCL
BCN,NDR
BCN,OPO
BCN,ORK
BCN,OUD
BCN,OZZ
BCN,PEG
BCN,PIK
BCN,PIS
BCN,PMI
BCN,PMO
BCN,PRG
BCN,RAK
BCN,RBA
BCN,REG
BCN,RIX
BCN,SCQ
BCN,SOF
BCN,STN
BCN,SVQ
BCN,TFN
BCN,TFS
BCN,TLL
BCN,TNG
BCN,TRN
BCN,TRS
BCN,VCE
BCN,VGO
BCN,VIE
BCN,VLL
BCN,VNO
BCN,WMI
BCN,XRY
BCN,ZAD
BDS,ARN
BDS,BGY
BDS,BLQ
BDS,BVA
BDS,CRL
BDS,DUB
BDS,EIN
BDS,FCO
BDS,FMM
BDS,GDN
BDS,GOA
BDS,MAD
BDS,MAN
BDS,MXP
BDS,PEG
BDS,PMO
BDS,PSA
BDS,STN
BDS,TRN
BDS,TRS
BDS,VCE
BDS,VRN
BDS,WRO
BEM,BGY
BEM,GRO
BER,ACE
BER,AGP
BER,ALC
BER,ATH
BER,BCN
BER,BGY
BER,BHX
BER,BLQ
BER,BRI
BER,BRU
BER,BUD
BER,CDT
BER,CFU
BER,CHQ
BER,CTA
BER,DBV
BER,DUB
BER,EDI
BER,EMA
BER,FAO
BER,FCO
BER,FUE
BER,HER
BER,IBZ
BER,KGS
BER,KRK
BER,KUN
BER,LIS
BER,LPA
BER,LUX
BER,MAD
BER,MAN
BER,MRS
BER,MXP
BER,OPO
BER,OTP
BER,PFO
BER,PMI
BER,PMO
BER,PSA
BER,RAK
BER,REG
BER,RHO
BER,RIX
BER,SKG
BER,SOF
BER,STN
BER,TFS
BER,TGD
BER,TLL
BER,TLV
BER,TRS
BER,TSF
BER,VCE
BER,VLC
BER,VNO
BER,ZAD
BFS,ACE
BFS,AGP
BFS,ALC
BFS,BGY
BFS,BUD
BFS,BVA
BFS,EDI
BFS,EMA
BFS,FAO
BFS,GDN
BFS,GRO
BFS,KRK
BFS,KUN
BFS,MAN
BFS,MLA
